Instrument ID,Symbol,Description,Sector,Qty,Currency,Point Value,Last Price,Risk Factor
18580,"SF, SEP 2011, IMM",Swiss Franc,Currencies,-10,USD,125000,1.1842,"SF, SEP 2011"
1346,"C, DEC 2011, CBOT",CORN,Grains,21,USD,50,615.5,"C, DEC 2011"
4264,"TY,JUN 2021 ,CBOT",10 Year U.S. Treasury Notes,Interest Rates,0,USD,1000,122.4687,"TY,JUN 2021"
205110,"PUT TY, SEP 2011, CBOT 1.22",10 Year U.S. Treasury Notes,Interest Rates,30,USD,1000,1.14062,"TY,JUN 2021"
2625,"Crude Oil, SEP 2011, NYMEX",Crude Oil,Energies,50,USD,1000,99.14,"Crude Oil, SEP 2011"
205512,"CALL Crude Oil, SEP 2011, NYMEX 105",Crude Oil,Energies,-150,USD,1000,1.14062,"Crude Oil, SEP 2011"
3685,"GC, AUG 2011, COMEX",Gold,Metals,10,USD,100,1530.6,"GC, AUG 2011"
206690,"PUT GC, AUG 2011, COMEX 1500",Gold,Metals,20,USD,100,7.1,"GC, AUG 2011"
205354,"PUT GC, AUG 2011, COMEX 1520",Gold,Metals,45,USD,100,25.62371701,"GC, AUG 2011"
199624,"DZZ, ,NYSE",POWERSHARES DEUTSCHE BANK GOLD DOUBLE SHORT ETN,Stocks and Options,10000,USD,1,6.6,DZZ
195711,"ESLRD, ,OTC",EVERGREEN SOLAR INC COM,Stocks and Options,1666,USD,1,0.5385,ESLRD
